DISTRICT,ROUTE,ROUTE_SFX,COUNTY,PM_PFX,PM,PM_SFX,LOCATION,BACK_PEAK_HOUR,BACK_PEAK_MADT,BACK_AADT,AHEAD_PEAK_HOUR,AHEAD_PEAK_MADT,AHEAD_AADT,Date,ANNUAL_AVG_TEMPERATURE,ANOMALY_TEMPERATURE,PRECIPITATION,ANOMALY_PRECIPITATION
7.0,1,,LA,,0.0,,LOS ANGELES/ORANGE COUNTY LINE,,,,4100.0,46000.0,42500.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,1.86,,"LONG BEACH, BELLFLOWER BOULEVARD",3350.0,37000.0,34500.0,2550.0,28000.0,26000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,1.973,,"LONG BEACH, JCT. RTE. 22",2550.0,28000.0,26000.0,3400.0,36500.0,34000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,2.751,,"LONG BEACH, ANAHEIM STREET",3400.0,36500.0,34000.0,2800.0,30000.0,28000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,5.011,,"LONG BEACH, CHERRY AVENUE",3600.0,38000.0,36500.0,3650.0,38500.0,37000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,6.26,,"LONG BEACH, LONG BEACH BOULEVARD",3200.0,34000.0,32500.0,3350.0,36000.0,34500.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,7.288,,"LONG BEACH, JCT. RTE. 710",4550.0,49500.0,40500.0,4350.0,47500.0,39000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,8.266,,"LONG BEACH, JCT. RTE. 103",3800.0,41500.0,34000.0,3550.0,39000.0,32000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,9.253,,"LOS ANGELES, ALAMEDA STREET",3550.0,39000.0,32000.0,3550.0,40000.0,32500.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,10.532,,"LOS ANGELES, AVALON BOULEVARD",3550.0,40000.0,33000.0,4350.0,50000.0,41000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,11.61,,"LOS ANGELES, JCT. RTE. 110",4400.0,51000.0,41500.0,4400.0,59000.0,56000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,12.171,,"LOS ANGELES, VERMONT AVENUE",4400.0,59000.0,56000.0,4200.0,56000.0,53000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,12.523,,"LOS ANGELES, NORMANDIE AVENUE",4200.0,56000.0,53000.0,3950.0,51000.0,48500.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,13.1,,"LOS ANGELES, JCT. RTE. 213",4000.0,51000.0,49000.0,5100.0,64000.0,61000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,14.634,,"TORRANCE, CRENSHAW BOULEVARD",4900.0,61000.0,58000.0,3850.0,46000.0,43500.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,16.005,,"TORRANCE, JCT. RTE. 107",3350.0,41000.0,39000.0,3800.0,43500.0,42500.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,18.09,,"TORRANCE, PALOS VERDES BOULEVARD",2850.0,33000.0,32000.0,2550.0,30500.0,29500.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,19.524,,"REDONDO BEACH, TORRANCE BOULEVARD",3350.0,40500.0,39000.0,3350.0,40500.0,39500.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,21.181,,"HERMOSA BEACH, AVIATION BOULEVARD",5300.0,64000.0,62000.0,4150.0,54000.0,50000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,21.341,,"HERMOSA BEACH, PIER AVENUE/14TH STREET",4150.0,54000.0,50000.0,3700.0,48500.0,45500.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,21.919,,"MANHATTAN BEACH, ARTESIA BOULEVARD",3850.0,50000.0,47000.0,3800.0,49500.0,46000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,22.9,,"MANHATTAN BEACH, MANHATTAN BEACH BLVD",4000.0,52000.0,48500.0,4800.0,61000.0,57000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,23.924,,"EL SEGUNDO, ROSECRANS AVENUE",5400.0,68000.0,64000.0,5500.0,69000.0,65000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,24.911,,"EL SEGUNDO, EL SEGUNDO BOULEVARD",4800.0,64000.0,61000.0,4400.0,58000.0,56000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,25.924,,"LOS ANGELES, JCT. RTE. 105",4950.0,65000.0,62000.0,8900.0,115000.0,110000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,26.904,,"LOS ANGELES, LA INT'NL AIRPORT, CENTURY BLVD",8900.0,115000.0,110000.0,6700.0,86000.0,83000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,27.363,,"LOS ANGELES, LA INT'NL AIRPORT, VIA LINCOLN BLVD",6700.0,86000.0,83000.0,3250.0,38500.0,37000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,29.084,,"LOS ANGELES, MANCHESTER AVENUE",3750.0,44000.0,42000.0,5200.0,59000.0,57000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,30.163,,"LOS ANGELES, JEFFERSON BOULEVARD",5200.0,59000.0,57000.0,5100.0,60000.0,58000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,30.474,,"LOS ANGELES, CULVER BOULEVARD",5100.0,60000.0,58000.0,5200.0,62000.0,60000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,31.29,,"LOS ANGELES, JCT. RTE. 90",4500.0,55000.0,52000.0,5400.0,68000.0,65000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,31.78,,"LOS ANGELES, WASHINGTON BLVD",5500.0,70000.0,68000.0,4100.0,52000.0,47500.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,32.166,,"LOS ANGELES, JCT. RTE. 187",4100.0,52000.0,47500.0,3500.0,45000.0,41500.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,R,34.576,,"SANTA MONICA, JCT. RTE. 10",3400.0,46500.0,43000.0,5700.0,65000.0,62000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,35.184,,"SANTA MONICA, OCEAN AVENUE",5700.0,65000.0,62000.0,6700.0,75000.0,73000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,36.11,,"SANTA MONICA, CALIFORNIA AVENUE",6700.0,75000.0,73000.0,7500.0,84000.0,79000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,37.045,,"LOS ANGELES, CHAUTAUQUA BOULEVARD",7500.0,84000.0,79000.0,7600.0,85000.0,80000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,39.326,,"LOS ANGELES, SUNSET BOULEVARD",5900.0,68000.0,63000.0,5600.0,65000.0,60000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,40.769,,JCT. RTE. 27,4900.0,57000.0,53000.0,4700.0,53000.0,49000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,44.121,,"MALIBU, LAS FLORES CANYON ROAD",3900.0,44500.0,40500.0,3950.0,45000.0,41000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,47.091,,"MALIBU, CROSS CREEK ROAD",4100.0,46000.0,41500.0,5400.0,47500.0,43000.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,47.75,,"MALIBU, CIVIC CENTER WAY",5400.0,47500.0,43000.0,4600.0,40500.0,36500.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,48.171,,"MALIBU, MALIBU CANYON ROAD",4600.0,40500.0,36500.0,3750.0,32500.0,29500.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,54.02,,"MALIBU, KANAN DUME ROAD",3550.0,31000.0,28000.0,3750.0,32500.0,29500.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,56.843,,"MALIBU, TRANCAS CANYON RD/BROAD BEACH RD",2450.0,24200.0,21300.0,1900.0,18900.0,16700.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,57.391,,"MALIBU, LUNITA ROAD",1900.0,18900.0,16700.0,1900.0,18900.0,16700.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,59.401,,"MALIBU, ENCINAL CANYON ROAD",1700.0,16700.0,14800.0,1400.0,13800.0,12300.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,59.901,,"MALIBU, JCT. RTE. 23",1400.0,13800.0,12300.0,1350.0,13100.0,11700.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,62.301,,MULHOLLAND HIGHWAY,1300.0,12500.0,11200.0,1550.0,15000.0,13400.0,2017,64.1,0.7,13.69,1.45
7.0,1,,LA,,62.867,,LOS ANGELES/VENTURA COUNTY LINE,1550.0,15000.0,13400.0,,,,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,,2.321,,"LOS ANGELES, CENTINELA  AVENUE",,,,2550.0,30500.0,29500.0,2017,64.1,0.7,13.69,1.45
